"RANK","NAME","TEAM","CUR","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Taylor Hendricks","Uta","","F","22.2","33","14.9","13.6","13.5","32","0.719","58","0.586","70","0.343","0.547","0.574","4.9","3","0.7","0.4","0.2","0.6","7.9","5.7","8.7","5.8","114.2","118.3"
"","Tyrese Proctor","Cle","*","G","21.9","38","10.5","21","12.1","27","0.852","66","0.455","101","0.347","0.494","0.525","4.9","1.1","1.4","0.4","0","0.6","6","6.3","7.4","7.5","108.5","108.5"
"","Craig Porter","Cle","*","G","25.9","46","18","12.4","17","29","0.552","128","0.508","67","0.388","0.533","0.539","4.9","3.5","3.2","1","0.6","0.9","8.3","8.1","11.5","8.4","124.1","111.1"
"","Jarred Vanderbilt","Lal","*","F","26.9","41","19.5","12.2","19.3","41","0.634","97","0.598","70","0.286","0.527","0.546","4.9","5","1.4","1","0.3","1","9.9","6.3","11.3","6.7","114.4","108"
"","Mitchell Robinson","Nyk","*","C-F","27.9","37","19.9","9.3","17.4","55","0.382","114","0.693","0","0","0.693","0.648","4.8","8.9","1","0.8","1.1","0.6","13.8","5.8","14.8","7","150.2","101.4"
"","Mouhamed Gueye","Atl","*","F","23.2","51","16.3","13.3","11.1","50","0.62","124","0.565","93","0.269","0.495","0.515","4.8","3.6","1","0.8","0.5","0.5","8.5","5.8","9.5","6.3","112.3","107.5"
"","Gabe Vincent","Lal","*","G","29.7","29","19.3","11.4","8.4","11","0.909","27","0.259","103","0.369","0.492","0.512","4.8","0.9","1.3","0.5","0","0.4","5.7","6","7","3.7","110.2","113.6"
"","TyTy Washington Jr.","Lac","*","G","24.2","3","10","16.3","9.1","0","0","5","0.8","5","0.4","0.7","0.7","4.7","0.3","2","0.7","0.3","0.3","5","6.7","7","5.7","142.5","122.4"
"","Karlo Matkovic","Nor","*","F-C","24.9","41","12.8","13.2","12.6","15","0.533","90","0.7","49","0.408","0.669","0.666","4.7","3.1","0.7","0.4","0.7","0.5","7.8","5.5","8.6","6.8","128","109.2"
"","Malaki Branham","Was","*","F","22.7","28","9.8","18.3","14.1","34","0.824","54","0.537","37","0.378","0.549","0.604","4.6","1.6","0.8","0.4","0.1","0.5","6.1","5.4","7","7.4","119","118"
"","Jeremiah Robinson-Earl","Ind","","F","25.3","17","17.6","14","10.7","14","0.929","50","0.42","33","0.242","0.398","0.443","4.6","5.2","0.7","0.4","0.1","0.6","9.8","5.4","10.5","5.8","104.7","112.1"
"","Dalton Knecht","Lal","*","F","24.8","41","11.5","17.3","10","18","0.722","66","0.636","96","0.313","0.537","0.55","4.6","1.4","0.3","0.2","0.2","0.4","6","4.9","6.3","4.3","106.4","113.6"
"","Justin Edwards","Phi","*","F","22.1","38","13.9","15.1","12.2","19","0.895","53","0.509","105","0.333","0.503","0.529","4.6","1.5","1.1","0.6","0.2","0.6","6.1","5.7","7.2","5.7","109.5","108.5"
"","Ben Saraf","Bro","*","G","19.8","19","17.3","18.2","28.3","24","0.75","47","0.383","44","0.25","0.379","0.428","4.6","1.5","2.7","0.7","0.2","1.9","6.1","7.3","8.7","6.1","84.3","115.5"
"","Lonzo Ball","Cle","*","G","28.3","35","20.8","13.5","22.8","21","0.667","29","0.448","147","0.272","0.415","0.432","4.6","4","3.9","1.3","0.3","1.5","8.6","8.5","12.5","8","100.2","109.8"
"","Josh Green","Cha","*","G","25.2","28","15.9","11.3","15.9","14","0.857","26","0.538","69","0.42","0.605","0.628","4.5","1.9","1.1","0.6","0.1","0.6","6.5","5.6","7.5","5.3","125.7","112.8"
"","Ethan Thompson","Ind","*","G","26.8","21","15.5","14","11.8","16","0.688","29","0.517","60","0.3","0.472","0.495","4.5","1.7","1.4","0.5","0.3","0.6","6.2","5.9","7.6","5.7","104.8","109.9"
"","DeAndre Jordan","Nor","*","C","37.5","2","11.7","12.3","16.1","2","0.5","5","0.8","0","0","0.8","0.765","4.5","5","0","0","0","0.5","9.5","4.5","9.5","0","144.7","117"
"","Terrence Shannon Jr.","Min","*","G-F","25.5","22","12.8","16.1","15.6","27","0.778","44","0.386","37","0.405","0.488","0.538","4.5","1.3","0.6","0.3","0","0.7","5.8","5.2","6.5","4.7","103.8","108.8"
"","Jeremiah Robinson-Earl","Dal","*","F","25.3","5","12.2","14.3","10.3","4","1","9","0.667","8","0.25","0.529","0.586","4.4","3","0.6","0.4","0","0.4","7.4","5","8","6.5","121.8","111.2"
"","Micah Peavy","Nor","*","G-F","24.6","45","15.3","14.6","6","15","0.733","132","0.477","88","0.239","0.43","0.441","4.4","2","1","0.7","0.1","0.3","6.5","5.5","7.5","5.4","104.1","113.8"
"","Mike Conley","Min","*","G","38.3","44","18.5","11.5","13.8","46","0.891","43","0.326","131","0.321","0.443","0.502","4.4","1.8","2.9","0.6","0.3","0.6","6.2","7.3","9.1","6.1","118.2","111"
"","Nicolas Batum","Lac","*","G-F","37.1","50","19.6","10","15.3","11","0.818","9","0.444","174","0.391","0.579","0.588","4.4","2.6","0.8","0.7","0.4","0.7","7","5.3","7.9","4.3","110.4","112.4"
"","Skal Labissiere","Was","*","F-C","29.9","3","12.5","12.2","9.1","0","0","5","1","5","0.2","0.65","0.65","4.3","3","1","0.7","0.3","0.3","7.3","5.3","8.3","7.5","135.5","115.2"
"","Jeremy Sochan","San","*","F","22.7","27","13.1","14.8","15.3","16","0.688","64","0.609","35","0.257","0.53","0.547","4.3","2.7","1","0.4","0.1","0.7","7","5.3","8","6.9","112.7","100.7"
"","Devin Carter","Sac","*","G","23.9","17","10.6","21.8","15","14","0.929","40","0.525","33","0.182","0.411","0.461","4.3","1.9","1.5","0.6","0.2","0.8","6.2","5.8","7.7","8.7","97.8","111.1"
"","Zeke Nnaji","Den","*","F-C","25.1","38","13.1","14.1","14.6","40","0.825","82","0.598","40","0.275","0.537","0.587","4.3","2.8","0.6","0.3","0.5","0.6","7.1","4.9","7.7","5.9","117.4","109.2"
"","Dereck Lively II","Dal","*","C","22","7","16.5","11.8","35.3","10","0.8","18","0.611","0","0","0.611","0.67","4.3","5.3","1.9","0.6","1.6","1.4","9.6","6.1","11.4","8.5","122.2","96.3"
"","Jordan Hawkins","Nor","*","G","23.8","35","14.1","16.9","11.5","18","0.778","76","0.342","93","0.301","0.402","0.424","4.3","1.8","0.7","0.2","0.2","0.6","6.1","5","6.8","5","89.3","121.1"
"","Ochai Agbaji","Tor","*","G","25.8","42","15.5","13.2","10","29","0.862","105","0.571","65","0.185","0.459","0.495","4.3","2.3","0.7","0.4","0.3","0.5","6.6","5","7.3","4.9","106.6","106.7"
"","Kasparas Jakucionis","Mia","*","G","19.7","26","15.8","13","18.8","23","0.87","38","0.237","61","0.393","0.455","0.504","4.2","2.3","2.3","0.7","0","0.9","6.6","6.5","8.8","7.1","110.1","104.7"
"","Trayce Jackson-Davis","Gol","*","F","26","36","11.4","14.7","15","52","0.558","101","0.584","1","1","0.593","0.601","4.2","3.1","0.9","0.4","0.5","0.5","7.3","5.1","8.2","8","127.3","106.7"
"","A.J. Lawson","Tor","*","G","25.6","12","8.9","19.6","8.8","9","1","19","0.421","22","0.364","0.488","0.545","4.1","1.8","0.3","0.3","0.3","0.3","5.9","4.3","6.2","5.9","112.2","101.7"
"","Liam McNeeley","Cha","*","F","20.3","28","12.2","14","12","31","0.806","30","0.4","58","0.379","0.511","0.566","4.1","2.1","0.8","0.2","0.1","0.4","6.3","4.9","7.1","6.2","119.5","108.3"
"","DaRon Holmes II","Den","*","F","23.5","14","12.5","13","10.3","8","0.75","9","0.556","34","0.412","0.605","0.623","4.1","1.7","1.1","0","0.3","0.4","5.9","5.2","6.9","6.3","127.1","113.7"
"","Sharife Cooper","Was","*","G","24.7","9","10.9","17.8","26.7","2","0.5","19","0.632","11","0.364","0.6","0.599","4.1","1.8","1.3","0.1","0.1","1.2","5.9","5.4","7.2","7.8","99.9","116.3"
"","Adem Bona","Phi","*","F","22.9","42","16.2","10.5","21.5","66","0.652","104","0.587","5","0.4","0.587","0.619","4.1","3.9","0.2","0.3","1.3","0.7","8","4.3","8.2","3.6","123.2","105.4"
"","Mac McClung","Chi","*","G","27.1","1","13.5","25","12.5","0","0","5","0.4","2","0","0.286","0.286","4","1","1","0","1","1","5","5","6","4.7","58.9","109.3"
"","Kevin Huerter","Det","*","G-F","27.5","2","7","26.5","11.1","0","0","4","1","4","0","0.5","0.5","4","0.5","1","1","0.5","0.5","4.5","5","5.5","7.2","99.8","95.5"
"","Brandon Clarke","Mem","*","F","29.4","2","10.2","21.8","0","4","0.5","9","0.333","0","0","0.333","0.372","4","3","0.5","1","0","0","7","4.5","7.5","7.1","105.3","90.4"
"","Myron Gardner","Mia","*","F","24.7","23","8.8","15.5","4.3","18","0.722","31","0.581","36","0.389","0.582","0.607","4","2.7","0.7","0.5","0.2","0.1","6.6","4.7","7.3","8.9","136.2","94.2"
"","Tony Bradley","Ind","*","C-F","28.1","38","11","14.4","13.8","43","0.744","104","0.558","2","0.5","0.561","0.604","4","2.8","0.5","0.2","0.2","0.4","6.8","4.5","7.3","6.5","128.6","107.1"
"","Christian Koloko","Atl","*","C","25.6","7","15.1","12.3","16.4","2","1","21","0.524","4","0.25","0.5","0.522","3.9","3","0.6","0.3","1","0.7","6.9","4.4","7.4","5.1","103.2","99.7"
"","Jamir Watkins","Was","*","F","24.6","24","16","11.6","14.5","24","0.75","36","0.583","46","0.239","0.457","0.502","3.9","3.5","0.7","0.8","0.4","0.6","7.4","4.6","8.1","5.3","106.5","107.5"
"","Hugo Gonzalez","Bos","*","G","20","47","15.4","11.6","15.1","21","0.476","84","0.583","73","0.342","0.551","0.55","3.9","3.4","0.6","0.6","0.3","0.6","7.3","4.5","7.9","5.2","112.2","103.1"
"","Keaton Wallace","Atl","*","G","26.9","40","11.1","15.3","13.9","11","0.545","52","0.442","84","0.405","0.544","0.547","3.9","1.2","2","0.5","0.1","0.6","5","5.9","7","7.6","112.2","111.9"
"","Clint Capela","Hou","*","C","31.7","44","11.8","14","11.3","36","0.556","141","0.532","0","0","0.532","0.542","3.9","4.6","0.6","0.5","0.7","0.4","8.5","4.4","9.1","7.5","127.1","106.6"
"","Jaylen Clark","Min","*","G","24.3","50","13.9","12.2","9","56","0.643","94","0.521","67","0.269","0.472","0.506","3.8","1.9","0.6","0.7","0.2","0.3","5.7","4.4","6.3","4.7","115.5","107.2"
"","Ousmane Dieng","Okc","*","F","22.7","27","10.9","14.9","8","6","1","42","0.476","49","0.367","0.516","0.534","3.7","1.6","1","0.1","0.3","0.3","5.3","4.7","6.3","6.6","114.3","106.4"
"","Moussa Cisse","Dal","*","C","23.4","30","12","13.5","24.1","56","0.482","69","0.609","0","0","0.609","0.593","3.7","4.5","0.2","0.3","1.1","0.7","8.2","3.9","8.4","5","118.6","98.8"
"","Jabari Walker","Phi","*","F","23.5","45","12.1","14.1","10.5","44","0.727","81","0.506","63","0.27","0.462","0.505","3.7","3.1","0.5","0.4","0.2","0.4","6.7","4.1","7.2","5.9","114.8","103.8"
"","Baylor Scheierman","Bos","*","G","25.4","47","13.9","10.4","13.1","12","0.833","35","0.571","97","0.402","0.595","0.608","3.6","2.5","0.9","0.6","0.1","0.4","6.1","4.5","7","5.8","124.8","105.5"
"","Cam Christie","Lac","*","G","20.5","36","10.1","16.8","13.4","42","0.762","62","0.484","41","0.293","0.466","0.527","3.6","1.6","0.6","0.3","0.1","0.4","5.2","4.1","5.8","6","107.7","116.7"
"","Larry Nance Jr.","Cle","*","F-C","33.1","24","13.2","13.5","10.9","5","0.6","43","0.442","47","0.319","0.461","0.466","3.6","2.6","1","0.6","0.2","0.5","6.2","4.6","7.2","6.4","106.8","102.5"
"","Kelly Olynyk","San","*","F-C","34.8","28","9.5","16","18.1","30","0.667","34","0.735","38","0.237","0.535","0.569","3.5","1.9","1.3","0.5","0","0.6","5.4","4.7","6.6","8.6","118.4","101.5"
"","Charles Bassey","Mem","*","C-F","25.3","2","15.3","14","10.9","3","0.333","8","0.375","0","0","0.375","0.376","3.5","7.5","1","0.5","0.5","0.5","11","4.5","12","7.8","111.8","97.6"
"","Rob Dillingham","Min","*","G","21.1","35","9.3","24","20.3","20","0.75","108","0.324","33","0.364","0.376","0.404","3.5","1.2","1.7","0.5","0.1","1","4.6","5.1","6.3","8.3","84.9","105.1"
"","Yanic Konan Niederhauser","Lac","*","C","22.9","31","8.6","15.7","21.4","34","0.676","59","0.712","3","0","0.677","0.695","3.5","2.1","0.3","0.1","0.5","0.5","5.6","3.7","5.8","6.1","124.9","105.1"
"","Dalen Terry","Chi","*","F","23.6","34","11.1","14.6","17","17","0.529","56","0.464","46","0.413","0.534","0.539","3.5","1.9","1.3","0.6","0.3","0.6","5.4","4.7","6.6","7.4","109.3","111.3"
"","Doug McDermott","Sac","*","F","34.1","8","9.5","15.2","11.1","0","0","0","0","24","0.375","0.563","0.563","3.4","0.6","0.3","0","0.1","0.4","4","3.6","4.3","3.6","100.4","121.4"
"","James Wiseman","Ind","*","C","24.9","4","14.6","11.5","32.9","2","0.5","10","0.6","0","0","0.6","0.597","3.3","2","0.8","0","0.3","1.3","5.3","4","6","4.8","99","107.1"
"","Chaz Lanier","Det","*","G","24.1","19","8.8","14.5","3.5","5","1","11","0.545","44","0.341","0.518","0.542","3.3","1","0.7","0.3","0","0.1","4.3","3.9","4.9","6","125.9","113.2"
"","Caleb Martin","Dal","*","F","30.4","44","13.9","11.8","19.1","33","0.606","91","0.473","36","0.361","0.492","0.512","3.3","2.4","1.6","0.7","0.3","0.7","5.7","4.9","7.3","6.7","106","105.3"
"","Nick Richards","Pho","*","C","28.2","28","9.1","18","26","28","0.679","71","0.493","0","0","0.493","0.534","3.2","3.3","0.3","0.1","0.5","0.9","6.4","3.5","6.7","6.5","101.3","99"
"","John Konchar","Mem","*","G","29.9","30","14.5","8.6","16.4","13","0.615","32","0.75","39","0.333","0.613","0.619","3.2","3.1","1.3","1","0.4","0.5","6.2","4.5","7.6","6.5","126.4","108.8"
"","Jamison Battle","Tor","*","F","24.7","37","8.6","14","13.8","9","0.667","37","0.649","50","0.44","0.655","0.66","3.2","1.4","0.4","0.1","0.1","0.4","4.7","3.6","5.1","5.6","118.3","109.4"
"","Drew Timme","Lal","*","F","25.4","16","8","15.1","11.5","3","0.667","24","0.667","14","0.357","0.618","0.623","3.1","1.3","0.9","0.3","0","0.3","4.4","3.9","5.3","7.7","129.2","112.7"
"","Mark Sears","Mil","*","G","24","7","3.7","34.8","23.1","8","0.75","5","0.4","8","0.5","0.615","0.666","3.1","0.3","0.3","0","0","0.6","3.4","3.4","3.7","7.1","0","0"
"","Keshad Johnson","Mia","*","F","24.6","21","7.6","18.7","13.6","17","0.765","34","0.471","23","0.304","0.465","0.512","3.1","1.9","0.1","0.2","0.2","0.4","5","3.2","5.1","4.4","103.2","106.1"
"","Jericho Sims","Mil","*","C","27.3","36","14.7","8.6","34.3","16","0.563","63","0.825","0","0","0.825","0.807","3.1","4","0.8","0.2","0.2","0.9","7.1","3.9","7.9","5.8","130","108.7"
"","Kobe Bufkin","Lal","*","G","22.4","4","11.3","12.4","8","2","1","4","0.5","7","0.286","0.455","0.505","3","1.3","0.5","0.3","0.8","0.3","4.3","3.5","4.8","4.4","109","115.2"
"","Oscar Tshiebwe","Uta","*","F-C","26.2","2","12.4","12.5","14.3","1","0","6","0.5","0","0","0.5","0.466","3","4","1","0.5","0","0.5","7","4","8","7.4","115.5","112.5"
"","Emanuel Miller","Chi","*","F","25.6","5","6.6","17.7","0","2","0.5","7","0.571","6","0.333","0.538","0.54","3","0.6","0.8","0.4","0","0","3.6","3.8","4.4","6.8","123.9","115.8"
"","Chris Livingston","Cle","*","F","22.3","3","5.8","17.7","0","1","1","4","1","3","0","0.571","0.605","3","1","0.3","0.3","0","0","4","3.3","4.3","6.7","128.9","91.2"
"","Antonio Reeves","Cha","*","G","23.2","7","8","12.1","0","0","0","6","0.5","10","0.5","0.656","0.656","3","0.7","0.3","0.1","0","0","3.7","3.3","4","4.3","140.7","115.4"
"","Daeqwon Plowden","Sac","*","G-F","27.4","4","14.9","11.5","0","0","0","5","0.6","11","0.182","0.375","0.375","3","2","0.3","0","0.3","0","5","3.3","5.3","3.3","94.1","120.7"
"","Monte Morris","Ind","*","G","30.6","6","10.8","15.6","9","4","0.5","12","0.417","8","0.25","0.4","0.414","3","1.2","1.5","0.2","0.2","0.3","4.2","4.5","5.7","6.5","96.7","118.6"
"","Ron Harper Jr.","Bos","*","G-F","25.8","8","8.6","15.8","4","0","0","5","0.6","19","0.316","0.5","0.5","3","1.9","0.9","0.1","0.4","0.1","4.9","3.9","5.8","8","127.9","108"
"","Rayan Rupert","Por","*","G-F","21.7","44","12.1","12.7","14.8","14","0.643","70","0.414","68","0.309","0.438","0.451","3","1.8","0.7","0.7","0","0.5","4.8","3.7","5.5","5.1","96.7","109.6"
"","Joan Beringer","Min","*","F","19.2","25","6.9","15.6","11.8","11","0.545","52","0.673","0","0","0.673","0.669","3","2.1","0.2","0.1","0.4","0.3","5.1","3.3","5.4","6.3","136.8","101.8"
"","Dwight Powell","Dal","*","F-C","34.6","37","14.3","8.1","24.9","60","0.65","56","0.643","1","0","0.632","0.665","3","3.8","1","0.5","0.3","0.5","6.8","4","7.8","6.3","139.2","102.3"
"","Riley Minix","San","*","F","25.4","3","2.8","30.5","0","0","0","3","1","3","0.333","0.75","0.75","3","0.7","0.3","0.3","0","0","3.7","3.3","4","12.2","0","0"
"","Tyus Jones","Orl","*","G","29.7","48","15.7","9.8","8.1","6","1","56","0.429","102","0.294","0.437","0.448","3","1.1","2.4","0.7","0.1","0.3","4.1","5.4","6.5","5.1","113.8","116.8"
"","Dorian Finney-Smith","Hou","*","F","32.8","18","15.5","10.6","14.4","5","1","14","0.5","45","0.244","0.398","0.425","2.9","2.6","0.7","0.4","0.2","0.6","5.4","3.6","6.1","4.5","100.6","107.3"
"","Pat Connaughton","Cha","*","G","33.1","22","7.1","14.6","6.2","13","0.615","18","0.611","27","0.407","0.611","0.621","2.9","1.4","0.6","0.2","0","0.1","4.2","3.5","4.9","7.6","134.8","114.6"
"","Duop Reath","Por","*","C","29.6","32","8.1","13.1","8.6","6","0.833","19","0.526","55","0.418","0.601","0.613","2.9","1.2","0.3","0.2","0.3","0.2","4.1","3.3","4.4","5","124.9","110.2"
"","David Jones Garcia","San","*","F","24.2","11","6.2","20.3","16.5","6","0.5","20","0.5","5","0.6","0.58","0.579","2.9","1.2","1.6","0.5","0.1","0.5","4.1","4.5","5.7","11.4","123.8","102.9"
"","Kobe Brown","Lac","*","F","26.1","34","8.7","16.7","15.1","26","0.808","35","0.571","49","0.265","0.47","0.524","2.9","1.6","0.8","0.3","0.1","0.4","4.5","3.7","5.3","7.1","112.3","115.5"
"","Chris Paul","Lac","*","G","40.8","16","14.2","14.2","22.2","2","0.5","26","0.308","30","0.333","0.411","0.413","2.9","1.8","3.3","0.7","0","1","4.7","6.3","8","7.3","101.8","110"
"","Trey Alexander","Nor","*","G","22.8","5","8.3","10","10","0","0","6","0.667","3","0.667","0.778","0.778","2.8","0.8","1","0.2","0.2","0.2","3.6","3.8","4.6","6.3","148.2","115.1"
"","Miles Kelly","Dal","*","G","23","12","8.5","15.2","10.8","0","0","7","0.714","26","0.308","0.515","0.515","2.8","1.6","0.7","0.3","0","0.3","4.4","3.5","5.1","6.9","105.6","106.3"
"","Julian Phillips","Chi","*","F","22.3","35","9.5","12.6","7.3","11","0.818","39","0.538","49","0.327","0.511","0.533","2.8","1.3","0.2","0.5","0.2","0.2","4.1","3","4.3","3.8","114","111.8"
"","Carter Bryant","San","*","F","20.2","40","8.6","16.4","10.1","14","0.786","55","0.418","60","0.3","0.435","0.458","2.8","1.8","0.3","0.2","0.1","0.3","4.6","3","4.8","5.3","96.5","104.9"
"","AJ Johnson","Was","*","G","21.2","25","8.6","20.7","17.8","12","0.75","58","0.345","25","0.28","0.367","0.396","2.8","1.2","0.9","0.3","0","0.7","4","3.7","4.9","6.7","82.9","119.2"
"","Jonathan Isaac","Orl","*","F","28.3","42","10.3","12.6","14.8","48","0.625","58","0.586","34","0.206","0.484","0.526","2.8","2.6","0.4","0.4","0.5","0.4","5.4","3.2","5.8","5.5","112.1","108.7"
"","Alijah Martin","Tor","*","G","24.1","11","8.1","16.4","10.2","12","0.833","15","0.467","11","0.182","0.385","0.48","2.7","1.1","0.7","0.5","0.3","0.3","3.8","3.5","4.5","6.3","111.8","107.6"
"","Jamal Cain","Orl","*","F","26.9","19","7","16.8","15.4","18","0.833","19","0.474","19","0.316","0.474","0.555","2.7","0.7","0.3","0.2","0.1","0.4","3.4","3","3.7","4.7","111","103.5"
"","Kevon Looney","Nor","*","F","30","17","13.9","10.3","14.5","8","0.625","38","0.5","9","0.111","0.436","0.455","2.7","5.1","1.5","0.4","0.5","0.5","7.8","4.2","9.3","7.9","124.8","108.1"
"","Guerschon Yabusele","Nyk","","F","30.1","41","8.9","14.7","12.3","12","0.667","39","0.564","68","0.294","0.486","0.499","2.7","2.1","0.4","0.1","0.1","0.4","4.9","3.2","5.3","5.9","107.3","107.2"
"","Christian Koloko","Mem","","C","25.6","11","17.7","9.3","16.6","4","0.25","34","0.412","1","0","0.4","0.394","2.6","4","0.9","0.9","1.2","0.6","6.6","3.5","7.5","4.8","99.7","107.3"
"","Jae'Sean Tate","Hou","*","F","30.3","31","8.2","13.3","10.2","7","0.571","48","0.583","22","0.318","0.55","0.554","2.6","1.5","0.5","0.2","0.1","0.3","4.1","3.1","4.6","6.1","122.6","103.6"
"","Gary Harris","Mil","*","G","31.4","36","14.8","7.5","17.4","9","0.889","27","0.481","44","0.455","0.606","0.627","2.6","1.5","1.1","0.6","0.1","0.4","4.1","3.7","5.2","4.4","124.3","114.5"
"","Elijah Harkless","Uta","*","G","26","7","9.4","11.3","20.9","9","0.778","4","0.5","7","0.286","0.455","0.568","2.4","0.9","0.7","0.6","0","0.4","3.3","3.1","4","4.9","114.2","111.1"
"","Rasheer Fleming","Pho","*","F","21.6","29","6.5","19.6","8.4","11","0.727","34","0.5","42","0.214","0.401","0.427","2.4","1.3","0.2","0.2","0.2","0.2","3.7","2.6","3.8","5.3","98.8","107.7"
"","Amir Coffey","Mil","*","G-F","28.6","30","8.8","11","6.7","15","0.867","30","0.633","25","0.28","0.536","0.584","2.4","0.9","0.4","0.1","0.1","0.1","3.3","2.8","3.6","4.3","122.1","119.4"
"","Kam Jones","Ind","*","G","24","15","9.1","13.9","9.3","4","0.5","24","0.5","15","0.2","0.423","0.429","2.3","1","1.3","0.3","0","0.3","3.3","3.6","4.6","6.3","102","118.5"
"","Mohamed Diawara","Nyk","*","F","20.8","42","6","17.3","13.8","6","0.5","36","0.5","51","0.373","0.534","0.535","2.3","1","0.5","0.2","0.1","0.3","3.3","2.8","3.8","7","107.1","108.6"
"","Jeff Green","Hou","*","F","39.4","18","4.5","17","3","1","1","9","0.556","23","0.435","0.625","0.632","2.3","0.6","0.2","0.1","0.1","0.1","2.8","2.4","3","5.8","135.7","112.6"
"","Luke Travers","Cle","*","F","24.4","12","8.6","17.3","7.6","9","1","20","0.4","16","0.063","0.264","0.35","2.3","2","0.8","0.6","0.3","0.3","4.3","3.1","5.1","7.2","95.9","110.3"
"","Caleb Houstan","Atl","*","G","23.1","10","4.9","17.2","20.6","3","1","3","0.333","12","0.5","0.667","0.705","2.3","0.5","0.2","0.1","0.1","0.4","2.8","2.5","3","5","118.1","111.8"
"","Leonard Miller","Min","*","F","22.2","19","5","20.7","21.3","11","0.636","21","0.81","12","0.083","0.561","0.581","2.3","1.3","0.3","0.2","0","0.5","3.6","2.6","3.9","7.7","104.2","102"
"","Yang Hansen","Por","*","C","20.6","30","8","19.2","25.6","18","0.944","44","0.409","34","0.147","0.327","0.396","2.3","1.7","0.7","0.1","0.3","0.9","4","3","4.7","7","80.9","106.2"
"","Chris Boucher","Bos","*","F","33.1","9","10.5","12.7","3.8","4","0.75","10","0.6","15","0.133","0.36","0.392","2.3","2","0.3","0.6","0.8","0.1","4.3","2.7","4.7","4.2","94.5","94.2"
"","Hunter Tyson","Den","*","F","25.7","21","7.7","17","8.7","13","0.846","19","0.368","33","0.212","0.337","0.398","2.2","1.7","0.8","0.1","0","0.2","3.9","3","4.7","7.5","95.8","111.5"
"","E.J. Liddell","Bro","*","F","25.1","10","4.9","16.4","0","3","0.667","6","0.667","11","0.364","0.588","0.6","2.2","1.1","0","0.1","0","0","3.3","2.2","3.3","0","127.5","113"
"","Isaiah Livers","Pho","*","F","27.5","29","10.1","9.8","18.7","10","0.7","17","0.588","35","0.343","0.538","0.559","2.2","1.9","0.7","0.4","0.2","0.4","4.1","2.9","4.8","5.7","116.2","108"
"","Xavier Tillman","Bos","*","F","27.1","14","8","14","13.9","0","0","16","0.688","15","0.2","0.5","0.5","2.2","1.8","0.4","0.4","0.1","0.4","4","2.6","4.4","5.8","108.6","107.7"
"","Kevin McCullar Jr.","Nyk","*","G","24.9","14","7.8","15.5","28.8","5","0.4","12","0.417","15","0.4","0.519","0.514","2.1","1.6","1.4","0.4","0","0.8","3.8","3.5","5.1","8.6","103.9","99.9"
"","Bobi Klintman","Det","*","F","22.9","8","7.5","19.6","18.5","3","0","11","0.364","11","0.273","0.386","0.364","2.1","2.1","0.5","0.3","0","0.6","4.3","2.6","4.8","6.9","79.7","94.6"
"","Jahmir Young","Mia","*","G","25.3","7","5.1","19.7","11.5","1","1","9","0.444","6","0.333","0.467","0.486","2.1","0.4","0.9","0.1","0","0.3","2.6","3","3.4","7.1","104.7","108"
"","Tristan Enaruna","Cle","*","F","24.6","2","4.8","13.1","0","0","0","3","0.667","0","0","0.667","0.667","2","2.5","1","0","0","0","4.5","3","5.5","14.2","191.4","125.3"
"","Isaiah Stevens","Sac","*","G","25.3","2","11.3","7.1","0","4","1","2","0","0","0","0","0.532","2","1","3","1.5","0","0","3","5","6","6.4","164.6","117.1"
"","LJ Cryer","Gol","*","G","24.3","3","2.6","26.8","0","0","0","1","0","4","0.5","0.6","0.6","2","0.3","0","0","0","0","2.3","2","2.3","0","0","0"
"","Vladislav Goldin","Mia","*","C","24.7","2","4.2","9.7","0","0","0","2","1","0","0","1","1","2","0.5","1","0","0.5","0","2.5","3","3.5","9.5","208.1","81.3"
"","Trentyn Flowers","Chi","*","F","20.9","2","2.8","30.1","25","0","0","2","1","1","0","0.667","0.667","2","0.5","0.5","0","0","0.5","2.5","2.5","3","11.3","0","0"
"","Isaac Jones","Det","*","F","25.6","1","1.3","63.5","0","0","0","1","1","1","0","0.5","0.5","2","0","0","0","0","0","2","2","2","0","0","0"
"","Wendell Moore Jr.","Det","*","G","24.4","5","10.9","6.7","11.8","2","1","6","0.667","1","0","0.571","0.635","2","1.2","0.6","0.4","0.4","0.2","3.2","2.6","3.8","4.1","131.5","114.7"
"","Maxi Kleber","Lal","*","F","34","25","11","9.5","15","16","0.75","28","0.464","17","0.235","0.422","0.48","2","1.8","0.8","0.4","0.2","0.3","3.8","2.8","4.6","5.2","117.5","108.3"
"","Koby Brea","Pho","*","G","23.3","2","3.9","21","0","2","1","1","1","2","0","0.333","0.515","2","0.5","1","0","0","0","2.5","3","3.5","10.3","0","0"
"","JD Davison","Hou","*","G","23.3","23","7","14.5","11.5","9","0.556","23","0.478","23","0.261","0.435","0.45","2","0.7","1.1","0.2","0.2","0.3","2.7","3","3.8","6.6","109.9","109.7"
"","Colby Jones","Det","*","G","23.7","1","6.8","18.2","0","0","0","1","1","2","0","0.333","0.333","2","4","2","0","0","0","6","4","8","14.8","105.4","85.5"
