"RANK","NAME","TEAM","CUR","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Brandin Podziemski","Gol","*","G","23","52","26.5","18.9","14.1","126","0.762","251","0.514","229","0.38","0.541","0.574","11.8","4.6","3.5","1.1","0.2","1.5","16.4","15.3","19.9","8.7","115.3","109.5"
"","Cameron Johnson","Den","*","F","29.9","28","30.6","15.2","9.9","58","0.81","119","0.496","126","0.429","0.571","0.604","11.7","3.6","2.4","0.6","0.3","1","15.3","14","17.6","6.1","121.6","115.1"
"","Jalen Green","Pho","*","G","24","5","13.9","34.6","13.1","9","0.778","20","0.45","26","0.423","0.554","0.58","11.6","2.2","1.8","0.6","0","1.4","13.8","13.4","15.6","10.3","111.5","112"
"","Klay Thompson","Dal","*","G","36","47","22.1","22.2","7.8","34","0.706","134","0.41","360","0.375","0.521","0.53","11.5","2.4","1.4","0.5","0.3","0.9","13.9","12.9","15.3","6.1","103.3","114.4"
"","Julian Champagnie","San","*","F","24.6","51","28.5","15.6","10.3","100","0.85","102","0.598","341","0.372","0.568","0.604","11.5","6.1","1.5","0.8","0.4","1","17.7","13","19.1","6.6","119.8","108.5"
"","Ace Bailey","Uta","*","F","19.5","45","25.7","19.4","10.3","44","0.705","272","0.522","197","0.345","0.52","0.531","11.5","3.7","1.6","0.8","0.5","1.2","15.2","13.1","16.8","6.4","106.7","117.7"
"","Dyson Daniels","Atl","*","G","22.9","51","33.8","16.1","16.1","86","0.605","452","0.553","73","0.137","0.505","0.517","11.4","6.5","6.3","1.9","0.4","2","17.9","17.7","24.2","9.2","114.6","112.7"
"","Sandro Mamukelashvili","Tor","*","F-C","26.7","51","22.7","18.4","10.1","102","0.755","225","0.644","185","0.384","0.613","0.638","11.4","5.1","2","0.8","0.6","0.9","16.4","13.4","18.4","8.6","127.9","107.5"
"","Jock Landale","Mem","","C","30.3","45","23.6","18.5","10.6","89","0.674","260","0.581","129","0.38","0.577","0.594","11.3","6.5","1.7","0.6","0.5","1","17.8","13","19.5","8.5","125.4","109.2"
"","Donovan Clingan","Por","*","C","22","48","27.3","15.5","11.3","116","0.672","255","0.643","144","0.306","0.576","0.598","11.2","11.3","1.9","0.5","1.3","1.1","22.5","13.1","24.5","9.1","133.2","108.4"
"","Jusuf Nurkic","Uta","*","C","31.5","38","26.5","19.8","21.8","107","0.561","274","0.536","67","0.358","0.537","0.549","11.2","10.2","4.9","1.3","0.5","2.5","21.4","16.1","26.2","12.4","111.3","108.1"
"","Caleb Love","Por","*","G","24.4","43","22.3","22.6","11.3","49","0.735","184","0.495","271","0.321","0.487","0.503","11.1","2.7","2.6","0.6","0.1","1.3","13.8","13.7","16.4","7.7","106.1","116.7"
"","Moses Moody","Gol","*","G","23.7","50","24.6","17.7","9.2","79","0.759","143","0.49","292","0.404","0.568","0.59","11.1","3.3","1.4","0.9","0.6","0.9","14.4","12.5","15.8","6","116.3","110.7"
"","Kel'el Ware","Mia","*","C","21.8","49","22.3","18","9.7","68","0.794","271","0.598","139","0.403","0.6","0.621","11.1","9.1","0.6","0.8","1","0.9","20.3","11.7","20.9","7","126.8","105.6"
"","Scoot Henderson","Por","*","G","22","1","21.3","30.2","32.9","2","0.5","3","0.667","7","0.286","0.5","0.506","11","5","9","1","0","5","16","20","25","14.9","96.6","96.2"
"","Walter Clayton Jr.","Mem","*","G","22.9","1","22","26.3","21.4","0","0","8","0.5","3","0.333","0.5","0.5","11","3","4","1","0","3","14","15","18","9.3","89.1","108.8"
"","Nikola Vucevic","Bos","*","C","35.3","1","27.9","18.2","19.4","4","0.75","7","0.571","1","0","0.5","0.564","11","12","4","2","0","2","23","15","27","11.6","131.1","109.1"
"","Dennis Schroder","Cle","*","G","32.4","1","19.2","36.7","17.6","0","0","9","0.444","5","0.2","0.393","0.393","11","2","6","3","0","3","13","17","19","10.6","85","113.1"
"","Isaiah Hartenstein","Okc","*","C-F","27.8","27","26.2","17.3","22.5","68","0.676","191","0.654","5","0","0.638","0.655","11","10","3.1","1","0.7","2.1","20.9","14.1","24","10.7","128.1","95.6"
"","Kevin Huerter","Chi","","G-F","27.5","44","23.6","19.4","10.8","56","0.732","181","0.63","223","0.314","0.542","0.559","10.9","3.8","2.6","0.8","0.6","1.1","14.7","13.5","17.4","8.1","111","112.8"
"","Egor Demin","Bro","*","G","19.9","44","24.8","19.7","17","54","0.852","109","0.431","281","0.402","0.555","0.579","10.9","3.1","3.3","0.8","0.3","1.8","14","14.2","17.3","7.8","109.5","115.1"
"","Aaron Wiggins","Okc","*","G","27.1","37","24","19.2","13.1","45","0.756","145","0.524","180","0.394","0.562","0.579","10.8","3.5","1.9","1","0.6","1.3","14.3","12.6","16.1","6.9","109.4","105.6"
